situationFamiliale,age,sexe,taux,nbEnfantsAcharge,puissance,nbPlaces,nbPortes
Seule,43,1,434,1,147,5,5
En Couple,68,1,184,1,102,5,5
Célibataire,43,1,243,1,135,5,5
En Couple,31,1,854,1,197,5,5
En Couple,22,1,403,1,197,5,5
En Couple,75,1,451,1,75,5,5
Seule,47,1,598,1,170,5,5
En Couple,68,1,544,1,150,5,5
1,35,1,730,1,75,5,5
En Couple,24,1,436,1,55,5,3
En Couple,44,1,414,1,245,5,5
En Couple,69,1,205,1,272,5,5
Seule,82,1,992,1,306,5,5
Célibataire,29,1,1287,1,75,5,5
En Couple,25,1,472,1,125,5,5
En Couple,30,1,725,1,507,5,5
En Couple,45,1,1026,1,75,5,5
En Couple,47,1,593,1,125,5,5
En Couple,37,1,401,1,55,5,3
Célibataire,73,1,214,1,75,5,5
En Couple,36,1,488,1,507,5,5
En Couple,49,1,1133,1,507,5,5
En Couple,25,1,1230,1,197,5,5
En Couple,19,1,578,1,245,5,5
Célibataire,37,1,549,1,75,5,5
Seule,41,1,1286,1,197,5,5
En Couple,67,1,502,1,306,5,5
En Couple,46,1,780,1,197,5,5
En Couple,78,1,1252,1,150,5,5
Célibataire,34,1,1078,1,75,5,5
En Couple,69,1,799,1,150,5,5
En Couple,82,1,1251,1,75,5,5
En Couple,35,1,439,1,245,5,5
Célibataire,68,1,573,1,115,5,5
En Couple,21,1,1049,1,507,5,5
En Couple,0,1,1081,1,507,5,5
En Couple,50,1,501,1,125,5,5
En Couple,27,1,571,1,507,5,5
Célibataire,45,1,1239,1,75,5,5
En Couple,28,1,987,1,507,5,5
En Couple,27,1,579,1,507,5,5
En Couple,27,1,431,1,245,5,5
Célibataire,46,1,475,1,135,5,5
En Couple,55,1,531,1,507,5,5
En Couple,20,1,590,1,170,5,5
En Couple,26,1,1261,1,197,5,5
Célibataire,37,1,154,1,75,5,5
En Couple,80,1,229,1,200,5,5
En Couple,18,1,914,1,507,5,5
Célibataire,51,1,929,1,75,5,5
Célibataire,33,1,879,1,75,5,5
Célibataire,42,1,597,1,75,5,5
En Couple,69,1,539,1,306,5,5
En Couple,45,1,208,1,272,5,5
En Couple,51,1,409,1,245,5,5
En Couple,20,1,564,1,272,5,5
En Couple,71,1,573,1,150,5,5
Célibataire,73,1,1244,1,75,5,5
Seule,35,1,477,1,170,5,5
Célibataire,79,1,170,1,55,5,3
Célibataire,31,1,514,1,55,5,3
En Couple,51,1,558,1,75,5,5
En Couple,25,1,1174,1,507,5,5
En Couple,44,1,1310,1,197,5,5
En Couple,38,1,468,1,147,5,5
Célibataire,75,1,1256,1,75,5,5
En Couple,34,1,185,1,272,5,5
En Couple,41,1,1379,1,75,5,5
En Couple,28,1,193,1,125,5,5
En Couple,73,1,467,1,306,5,5
En Couple,32,1,1146,1,507,5,5
Célibataire,48,1,517,1,150,5,5
Célibataire,31,1,891,1,75,5,5
Célibataire,51,1,453,1,135,5,5
En Couple,24,1,221,1,200,5,5
En Couple,46,1,515,1,197,5,5
En Couple,65,1,509,1,306,5,5
En Couple,23,1,200,1,245,5,5
Célibataire,58,1,528,1,135,5,5
En Couple,26,1,180,1,170,5,5
En Couple,57,1,1321,1,197,5,5
Célibataire,39,1,1279,1,75,5,5
Célibataire,49,1,507,1,55,5,3
En Couple,64,1,714,1,306,5,5
En Couple,75,1,457,1,306,5,5
En Couple,38,1,1090,1,197,5,5
En Couple,55,1,157,1,272,5,5
Célibataire,24,1,1371,1,75,5,5
En Couple,23,1,186,1,109,5,5
Célibataire,67,1,1145,1,136,5,5
Célibataire,81,1,590,1,55,5,3
En Couple,19,1,184,1,200,5,5
Célibataire,24,1,568,1,75,5,5
En Couple,26,1,414,1,507,5,5
Célibataire,20,1,403,1,55,5,3
En Couple,22,1,795,1,197,5,5
Célibataire,62,1,1194,1,136,5,5
En Couple,37,1,402,1,507,5,5
Célibataire,23,1,207,1,135,5,5
En Couple,25,1,158,1,245,5,5
Célibataire,49,1,414,1,150,5,5
En Couple,77,1,1397,1,75,5,5
En Couple,34,1,495,1,507,5,5
En Couple,22,1,529,1,170,5,5
En Couple,41,1,597,1,75,5,5
En Couple,22,1,485,1,245,5,5
Célibataire,47,1,1219,1,75,5,5
En Couple,41,1,1002,1,75,5,5
Célibataire,41,1,435,1,75,5,5
En Couple,20,1,997,1,507,5,5
En Couple,76,1,1101,1,306,5,5
En Couple,33,1,1369,1,507,5,5
En Couple,31,1,535,1,75,5,5
Célibataire,40,1,193,1,115,5,5
En Couple,62,1,970,1,306,5,5
Seule,54,1,430,1,147,5,5
Célibataire,37,1,1300,1,75,5,5
En Couple,52,1,1066,1,507,5,5
Seule,49,1,533,1,507,5,5
En Couple,58,1,480,1,507,5,5
Seule,29,1,451,1,197,5,5
En Couple,58,1,475,1,272,5,5
En Couple,59,1,429,1,147,5,5
En Couple,63,1,168,1,102,5,5
Célibataire,38,1,486,1,150,5,5
En Couple,42,1,166,1,272,5,5
En Couple,25,1,400,1,272,5,5
En Couple,52,1,1190,1,75,5,5
En Couple,51,1,213,1,200,5,5
Seul,20,1,581,1,75,5,5
En Couple,73,1,530,1,306,5,5
En Couple,37,1,403,1,147,5,5
En Couple,22,1,249,1,200,5,5
Marié(e),52,1,857,1,197,5,5
En Couple,40,1,242,1,147,5,5
Célibataire,68,1,460,1,55,5,3
Seule,74,1,512,1,150,5,5
Célibataire,20,1,431,1,115,5,5
Célibataire,82,1,736,1,75,5,5
En Couple,38,1,239,1,125,5,5
En Couple,29,1,462,1,245,5,5
Célibataire,34,1,1,1,55,5,3
En Couple,41,1,553,1,507,5,5
En Couple,36,1,588,1,245,5,5
En Couple,59,1,573,1,125,5,5
En Couple,48,1,1317,1,507,5,5
Célibataire,52,1,533,1,135,5,5
En Couple,27,1,442,1,272,5,5
Célibataire,19,1,587,1,135,5,5
Marié(e),51,1,1250,1,507,5,5
Célibataire,79,1,1083,1,75,5,5
En Couple,33,1,400,1,507,5,5
En Couple,29,1,498,1,125,5,5
En Couple,22,1,1271,1,197,5,5
En Couple,76,1,448,1,306,5,5
Célibataire,52,1,196,1,65,5,5
Célibataire,20,1,461,1,55,5,3
En Couple,37,1,471,1,125,5,5
En Couple,20,1,561,1,125,5,5
En Couple,26,1,490,1,245,5,5
En Couple,55,1,550,1,197,5,5
Célibataire,79,1,920,1,136,5,5
En Couple,43,1,589,1,507,5,5
1,30,1,907,1,507,5,5
En Couple,28,1,437,1,272,5,5
En Couple,52,1,230,1,65,5,5
Célibataire,63,1,192,1,75,5,5
En Couple,19,1,244,1,109,5,5
En Couple,54,1,203,1,193,5,5
Célibataire,21,1,581,1,55,5,3
En Couple,80,1,198,1,147,5,5
En Couple,31,1,526,1,197,5,5
En Couple,29,1,192,1,193,5,5
Célibataire,19,1,1240,1,75,5,5
Seule,68,1,421,1,306,5,5
En Couple,55,1,445,1,197,5,5
En Couple,47,1,484,1,272,5,5
Célibataire,27,1,205,1,55,5,3
En Couple,44,1,1052,1,507,5,5
En Couple,42,1,786,1,197,5,5
Célibataire,42,1,168,1,90,5,5
En Couple,20,1,165,1,65,5,5
En Couple,81,1,548,1,75,5,5
Célibataire,52,1,820,1,75,5,5
En Couple,37,1,1289,1,197,5,5
En Couple,52,1,1175,1,75,5,5
Célibataire,53,1,423,1,55,5,3
En Couple,23,1,511,1,245,5,5
En Couple,22,1,486,1,245,5,5
En Couple,30,1,179,1,147,5,5
En Couple,27,1,557,1,272,5,5
En Couple,19,1,532,1,197,5,5
Célibataire,19,1,575,1,135,5,5
En Couple,79,1,1098,1,306,5,5
En Couple,47,1,1106,1,197,5,5
Célibataire,57,1,503,1,75,5,5
Célibataire,23,1,446,1,135,5,5
En Couple,36,1,188,1,200,5,5
Célibataire,70,1,582,1,90,5,3
En Couple,20,1,528,1,170,5,5
En Couple,38,1,428,1,197,5,5
En Couple,21,1,186,1,125,5,5
Célibataire,29,1,1297,1,75,5,5
En Couple,22,1,494,1,507,5,5
En Couple,53,1,177,1,109,5,5
En Couple,35,1,245,1,170,5,5
En Couple,24,1,1189,1,507,5,5
Célibataire,44,1,1221,1,75,5,5
En Couple,19,1,1214,1,507,5,5
En Couple,57,1,579,1,272,5,5
Seule,60,1,556,1,170,5,5
Célibataire,40,1,1265,1,75,5,5
Célibataire,28,1,955,1,75,5,5
En Couple,48,1,434,1,147,5,5
En Couple,51,1,1057,1,75,5,5
En Couple,53,1,501,1,272,5,5
En Couple,30,1,508,1,170,5,5
En Couple,35,0,225,1,272,5,5
Célibataire,25,1,921,1,75,5,5
Seul,55,1,478,1,150,5,5
En Couple,51,1,478,1,197,5,5
Célibataire,51,1,423,1,135,5,5
En Couple,39,1,586,1,147,5,5
Célibataire,28,1,551,1,110,5,5
En Couple,59,1,490,1,125,5,5
En Couple,24,1,562,1,272,5,5
En Couple,21,1,938,1,197,5,5
En Couple,42,1,553,1,507,5,5
Célibataire,54,1,403,1,55,5,3
En Couple,40,1,584,1,147,5,5
Célibataire,33,1,529,1,150,5,5
En Couple,32,1,547,1,507,5,5
En Couple,80,1,485,1,306,5,5
Célibataire,41,1,1380,1,75,5,5
En Couple,38,1,204,1,102,5,5
En Couple,58,1,492,1,197,5,5
En Couple,37,1,519,1,507,5,5
En Couple,56,1,547,1,197,5,5
En Couple,32,1,205,1,65,5,5
En Couple,20,1,247,1,272,5,5
Célibataire,28,1,951,1,75,5,5
En Couple,30,1,180,1,90,5,3
Seule,30,1,475,1,147,5,5
Célibataire,32,1,461,1,55,5,3
Célibataire,24,1,161,1,58,5,3
En Couple,56,1,729,1,197,5,5
En Couple,42,1,530,1,75,5,5
Célibataire,18,1,561,1,150,5,5
En Couple,49,1,447,1,55,5,3
En Couple,44,1,474,1,272,5,5
En Couple,35,1,414,1,55,5,3
En Couple,23,1,410,1,245,5,5
En Couple,78,1,560,1,150,5,5
En Couple,55,1,510,1,197,5,5
Célibataire,28,1,460,1,150,5,5
En Couple,55,1,503,1,147,5,5
Célibataire,26,1,428,1,135,5,5
En Couple,50,1,1088,1,75,5,5
En Couple,26,1,418,1,245,5,5
Célibataire,53,1,467,1,150,5,5
Célibataire,54,1,574,1,55,5,3
Célibataire,41,1,219,1,65,5,5
En Couple,19,1,499,1,272,5,5
En Couple,53,1,524,1,125,5,5
Célibataire,56,1,1374,1,75,5,5
En Couple,59,1,590,1,197,5,5
En Couple,61,1,526,1,150,5,5
En Couple,82,1,531,1,306,5,5
Seule,32,1,529,1,197,5,5
Célibataire,43,1,418,1,150,5,5
En Couple,29,1,406,1,507,5,5
En Couple,53,1,487,1,507,5,5
En Couple,23,1,461,1,125,5,5
Seule,57,1,730,1,197,5,5
En Couple,54,1,590,1,197,5,5
En Couple,0,1,416,1,507,5,5
En Couple,42,1,412,1,147,5,5
En Couple,19,1,186,1,170,5,5
En Couple,21,1,452,1,272,5,5
En Couple,55,1,227,1,245,5,5
En Couple,25,1,473,1,170,5,5
En Couple,28,1,183,1,245,5,5
Seule,21,1,1119,1,507,5,5
En Couple,19,1,418,1,507,5,5
Célibataire,23,1,549,1,75,5,5
Célibataire,36,1,490,1,150,5,5
En Couple,83,1,510,1,150,5,5
En Couple,24,1,565,1,245,5,5
Célibataire,52,1,504,1,135,5,5
En Couple,39,1,978,1,507,5,5
Seule,56,1,184,1,102,5,5
Célibataire,41,1,404,1,150,5,5
En Couple,49,1,1353,1,507,5,5
En Couple,52,1,154,1,170,5,5
En Couple,54,1,962,1,507,5,5
En Couple,33,1,480,1,170,5,5
Célibataire,66,1,241,1,58,5,3
En Couple,39,1,1197,1,75,5,5
En Couple,56,1,468,1,507,5,5
En Couple,31,1,545,1,507,5,5
En Couple,22,1,881,1,507,5,5
En Couple,18,1,578,1,507,5,5
En Couple,53,1,463,1,147,5,5
En Couple,19,1,578,1,170,5,5
En Couple,22,1,593,1,245,5,5
En Couple,50,1,919,1,75,5,5
En Couple,28,1,1269,1,197,5,5
En Couple,73,1,416,1,150,5,5
En Couple,45,1,556,1,272,5,5
Célibataire,26,1,178,1,110,5,5
En Couple,48,1,583,1,507,5,5
En Couple,67,1,1216,1,150,5,5
En Couple,22,1,974,1,197,5,5
En Couple,58,1,417,1,245,5,5
Célibataire,72,1,198,1,55,5,3
En Couple,40,1,511,1,75,5,5
En Couple,48,1,1243,1,197,5,5
Célibataire,65,1,742,1,75,5,5
En Couple,54,1,589,1,245,5,5
En Couple,29,1,560,1,125,5,5
En Couple,80,1,522,1,150,5,5
En Couple,69,1,454,1,306,5,5
En Couple,64,1,249,1,245,5,5
Célibataire,51,1,848,1,75,5,5
Célibataire,41,1,1381,1,75,5,5
En Couple,22,1,1130,1,197,5,5
En Couple,64,1,208,1,200,5,5
En Couple,36,1,562,1,197,5,5
En Couple,44,1,895,1,197,5,5
En Couple,45,1,1034,1,507,5,5
Célibataire,24,1,450,1,55,5,3
En Couple,52,1,461,1,75,5,5
En Couple,27,1,438,1,272,5,5
En Couple,41,1,552,1,507,5,5
En Couple,42,1,573,1,245,5,5
En Couple,25,1,458,1,272,5,5
En Couple,29,1,192,1,200,5,5
En Couple,20,1,544,1,245,5,5
En Couple,22,1,817,1,507,5,5
En Couple,41,1,498,1,507,5,5
En Couple,22,1,571,1,147,5,5
Célibataire,26,1,1040,1,75,5,5
Célibataire,52,1,476,1,150,5,5
Célibataire,19,1,174,1,58,5,3
En Couple,19,1,798,1,197,5,5
Célibataire,70,1,482,1,55,5,3
En Couple,47,1,453,1,507,5,5
En Couple,21,1,535,1,245,5,5
En Couple,21,1,473,1,507,5,5
En Couple,29,1,558,1,245,5,5
Célibataire,34,1,193,1,90,5,5
Célibataire,43,1,560,1,75,5,5
En Couple,38,1,573,1,272,5,5
En Couple,70,1,563,1,306,5,5
Célibataire,30,1,164,1,115,5,5
Célibataire,26,1,591,1,55,5,3
En Couple,50,1,867,1,507,5,5
Célibataire,30,1,1018,1,75,5,5
Célibataire,55,1,402,1,75,5,5
Célibataire,51,1,1031,1,75,5,5
En Couple,52,1,433,1,55,5,3
En Couple,62,1,502,1,150,5,5
En Couple,41,1,1320,1,197,5,5
En Couple,22,0,806,1,197,5,5
Seule,42,1,532,1,245,5,5
En Couple,72,1,441,1,55,5,3
Célibataire,51,1,1177,1,75,5,5
En Couple,42,1,446,1,272,5,5
Célibataire,22,1,219,1,135,5,5
En Couple,33,1,450,1,125,5,5
En Couple,20,1,523,1,75,5,5
1,56,1,572,1,170,5,5
En Couple,25,1,428,1,170,5,5
Seule,79,1,408,1,306,5,5
Célibataire,24,1,515,1,55,5,3
En Couple,84,1,246,1,147,5,5
Célibataire,21,1,536,1,150,5,5
En Couple,47,1,583,1,507,5,5
En Couple,32,1,239,1,147,5,5
En Couple,45,1,412,1,147,5,5
Célibataire,22,1,938,1,75,5,5
En Couple,35,1,171,1,109,5,5
Seule,47,1,544,1,197,5,5
En Couple,21,1,1397,1,507,5,5
En Couple,22,1,189,1,193,5,5
En Couple,27,1,873,1,507,5,5
Célibataire,32,1,418,1,75,5,5
Célibataire,28,1,921,1,75,5,5
En Couple,50,1,1242,1,197,5,5
En Couple,50,1,1209,1,507,5,5
En Couple,68,1,453,1,75,5,5
Célibataire,26,1,818,1,75,5,5
En Couple,19,1,213,1,193,5,5
Célibataire,25,1,459,1,150,5,5
En Couple,49,1,502,1,245,5,5
En Couple,48,1,240,1,193,5,5
Célibataire,44,1,1090,1,75,5,5
En Couple,70,1,417,1,306,5,5
Célibataire,82,1,166,1,58,5,3
En Couple,39,1,552,1,75,5,5
En Couple,30,1,161,1,75,5,5
En Couple,34,1,448,1,272,5,5
En Couple,38,1,807,1,507,5,5
En Couple,18,1,461,1,272,5,5
En Couple,22,1,534,1,170,5,5
En Couple,26,1,543,1,75,5,5
Célibataire,80,1,418,1,75,5,5
Célibataire,22,1,590,1,150,5,5
En Couple,45,1,589,1,272,5,5
Célibataire,41,1,583,1,55,5,3
Célibataire,18,1,198,1,55,5,3
En Couple,26,1,241,1,193,5,5
En Couple,19,1,445,1,245,5,5
En Couple,79,1,1185,1,150,5,5
Célibataire,21,1,1219,1,75,5,5
En Couple,18,1,437,1,147,5,5
En Couple,23,1,497,1,170,5,5
En Couple,49,1,1132,1,197,5,5
En Couple,34,1,518,1,147,5,5
En Couple,33,1,426,1,197,5,5
En Couple,22,1,153,1,245,5,5
Célibataire,19,1,586,1,75,5,5
Seule,36,1,554,1,245,5,5
En Couple,35,1,426,1,55,5,3
Célibataire,18,1,573,1,55,5,3
Célibataire,61,1,231,1,65,5,5
En Couple,40,1,1173,1,507,5,5
En Couple,26,1,1192,1,507,5,5
En Couple,56,1,536,1,272,5,5
En Couple,26,1,1051,1,507,5,5
Célibataire,72,1,780,1,75,5,5
En Couple,29,1,870,1,507,5,5
En Couple,63,1,237,1,245,5,5
En Couple,38,1,183,1,125,5,5
En Couple,22,1,788,1,507,5,5
En Couple,35,1,595,1,55,5,3
En Couple,70,1,593,1,306,5,5
Célibataire,73,1,1339,1,136,5,5
En Couple,32,1,517,1,197,5,5
Célibataire,54,1,245,1,150,5,5
En Couple,71,1,180,1,200,5,5
En Couple,49,1,1229,1,507,5,5
En Couple,30,1,497,1,55,5,3
Célibataire,37,1,584,1,90,5,3
En Couple,26,1,197,1,65,5,5
En Couple,38,1,801,1,507,5,5
Célibataire,24,1,150,1,58,5,3
En Couple,44,1,458,1,147,5,5
En Couple,62,1,581,1,306,5,5
Célibataire,23,1,429,1,55,5,3
Seule,73,1,176,1,245,5,5
En Couple,41,1,248,1,125,5,5
Célibataire,21,1,589,1,90,5,3
En Couple,25,1,905,1,507,5,5
En Couple,43,1,238,1,272,5,5
En Couple,33,1,543,1,197,5,5
En Couple,41,1,186,1,200,5,5
En Couple,25,1,743,1,507,5,5
En Couple,82,1,481,1,306,5,5
En Couple,77,1,1104,1,306,5,5
Célibataire,24,1,951,1,75,5,5
Célibataire,29,1,898,1,75,5,5
En Couple,21,1,814,1,507,5,5
Célibataire,21,1,464,1,55,5,3
En Couple,53,1,523,1,507,5,5
Célibataire,59,1,226,1,65,5,5
En Couple,34,1,211,1,147,5,5
En Couple,44,1,557,1,272,5,5
En Couple,28,1,988,1,197,5,5
En Couple,56,1,821,1,507,5,5
Célibataire,60,1,167,1,58,5,3
Seule,54,1,507,1,197,5,5
Seule,48,1,1349,1,507,5,5
Célibataire,24,1,1117,1,75,5,5
Célibataire,21,1,532,1,135,5,5
Célibataire,19,1,583,1,150,5,5
En Couple,35,1,230,1,245,5,5
Célibataire,26,1,815,1,75,5,5
Célibataire,19,1,829,1,75,5,5
Célibataire,38,1,160,1,90,5,5
Célibataire,68,1,219,1,55,5,3
En Couple,27,1,782,1,115,5,5
En Couple,70,1,1122,1,306,5,5
En Couple,45,1,204,1,245,5,5
Célibataire,55,1,201,1,150,5,5
En Couple,72,1,406,1,150,5,5
En Couple,83,1,781,1,150,5,5
Seule,33,1,955,1,197,5,5
En Couple,53,1,1346,1,197,5,5
Célibataire,27,1,807,1,75,5,5
Célibataire,33,1,973,1,75,5,5
Célibataire,26,1,1125,1,75,5,5
En Couple,56,1,892,1,507,5,5
Célibataire,20,1,725,1,75,5,5
En Couple,57,1,157,1,109,5,5
Célibataire,76,1,222,1,90,5,5
En Couple,44,1,528,1,245,5,5
En Couple,23,1,816,1,197,5,5
Célibataire,39,1,598,1,135,5,5
En Couple,72,1,533,1,150,5,5
En Couple,83,1,454,1,115,5,5
En Couple,72,1,1144,1,150,5,5
En Couple,22,1,407,1,507,5,5
En Couple,22,1,436,1,75,5,5
En Couple,34,1,584,1,125,5,5
En Couple,30,1,453,1,272,5,5
Célibataire,45,1,458,1,150,5,5
En Couple,28,1,1184,1,197,5,5
En Couple,52,1,233,1,200,5,5
En Couple,46,1,228,1,245,5,5
Célibataire,67,1,540,1,55,5,3
Célibataire,22,1,194,1,135,5,5
En Couple,44,1,1111,1,197,5,5
Célibataire,29,1,527,1,150,5,5
Célibataire,53,1,870,1,75,5,5
En Couple,58,1,421,1,125,5,5
En Couple,24,1,525,1,245,5,5
Seul,43,1,434,1,135,5,5
En Couple,53,1,593,1,272,5,5
En Couple,68,1,466,1,306,5,5
En Couple,26,1,578,1,170,5,5
Célibataire,28,1,510,1,55,5,3
En Couple,54,1,223,1,200,5,5
En Couple,66,1,571,1,306,5,5
En Couple,51,1,724,1,197,5,5
En Couple,29,1,226,1,75,5,5
Célibataire,37,1,534,1,135,5,5
Célibataire,33,1,1256,1,75,5,5
En Couple,60,1,244,1,200,5,5
En Couple,67,1,186,1,200,5,5
En Couple,48,1,500,1,245,5,5
En Couple,18,1,704,1,197,5,5
En Couple,33,1,417,1,75,5,5
Célibataire,61,1,454,1,136,5,5
En Couple,75,1,568,1,306,5,5
En Couple,49,1,225,1,65,5,5
Célibataire,22,1,592,1,150,5,5
En Couple,23,0,228,1,272,5,5
En Couple,50,1,575,1,197,5,5
Célibataire,21,1,236,1,150,5,5
En Couple,76,1,483,1,306,5,5
En Couple,25,1,1042,1,507,5,5
En Couple,20,1,557,1,55,5,3
En Couple,43,1,222,1,125,5,5
En Couple,28,1,1331,1,197,5,5
En Couple,83,1,513,1,306,5,5
En Couple,37,1,505,1,507,5,5
En Couple,48,1,498,1,197,5,5
Célibataire,25,1,1161,1,75,5,5
En Couple,37,1,440,1,272,5,5
Célibataire,33,1,433,1,150,5,5
En Couple,22,1,228,1,125,5,5
En Couple,34,1,849,1,197,5,5
Célibataire,23,1,1328,1,75,5,5
En Couple,25,1,229,1,200,5,5
En Couple,28,1,228,1,272,5,5
En Couple,72,1,980,1,75,5,5
En Couple,20,1,512,1,245,5,5
Célibataire,21,1,498,1,75,5,5
En Couple,47,1,198,1,75,5,5
Célibataire,58,1,1304,1,75,5,5
Célibataire,48,1,221,1,150,5,5
Célibataire,51,1,453,1,75,5,5
Marié(e),21,1,427,1,147,5,5
En Couple,20,1,446,1,507,5,5
Célibataire,76,1,213,1,55,5,3
Célibataire,18,1,1089,1,150,5,5
Célibataire,25,1,433,1,75,5,5
En Couple,23,1,864,1,507,5,5
Célibataire,40,1,563,1,75,5,5
En Couple,24,1,873,1,197,5,5
En Couple,36,1,862,1,507,5,5
Célibataire,52,1,531,1,75,5,5
En Couple,42,1,187,1,102,5,5
Célibataire,35,1,563,1,55,5,3
En Couple,35,1,1382,1,507,5,5
En Couple,65,1,1290,1,150,5,5
Célibataire,19,1,176,1,55,5,3
Marié(e),46,1,169,1,193,5,5
En Couple,20,1,595,1,245,5,5
En Couple,45,1,857,1,197,5,5
En Couple,22,1,413,1,125,5,5
Célibataire,22,1,569,1,75,5,5
En Couple,66,1,583,1,306,5,5
En Couple,53,1,590,1,125,5,5
En Couple,80,1,533,1,306,5,5
Célibataire,35,1,540,1,150,5,5
Seule,18,1,460,1,197,5,5
En Couple,56,1,896,1,507,5,5
En Couple,58,1,482,1,197,5,5
En Couple,40,1,525,1,245,5,5
En Couple,64,1,1199,1,306,5,5
En Couple,76,1,521,1,150,5,5
Célibataire,83,1,536,1,55,5,3
Célibataire,26,1,192,1,65,5,5
En Couple,52,1,1279,1,507,5,5
En Couple,41,1,423,1,125,5,5
En Couple,59,1,546,1,507,5,5
Seul,56,0,241,1,75,5,5
Célibataire,23,1,531,1,135,5,5
Célibataire,23,1,531,1,150,5,5
En Couple,18,1,480,1,75,5,5
Célibataire,79,1,472,1,75,5,5
En Couple,59,1,1137,1,507,5,5
Célibataire,71,1,518,1,136,5,5
Célibataire,19,1,1363,1,75,5,5
Célibataire,58,1,230,1,90,5,5
En Couple,23,1,437,1,170,5,5
En Couple,20,1,581,1,507,5,5
Célibataire,31,1,1020,1,75,5,5
En Couple,58,1,161,1,147,5,5
Célibataire,20,1,1223,1,75,5,5
Célibataire,42,1,438,1,150,5,5
En Couple,83,1,1025,1,75,5,5
Célibataire,18,1,530,1,55,5,3
En Couple,68,1,492,1,306,5,5
Célibataire,46,1,228,1,75,5,5
En Couple,26,1,534,1,125,5,5
Célibataire,22,1,871,1,75,5,5
Seule,71,1,1106,1,150,5,5
En Couple,19,1,535,1,147,5,5
En Couple,54,1,1269,1,197,5,5
En Couple,41,1,1038,1,197,5,5
Célibataire,29,1,150,1,65,5,5
Célibataire,45,1,515,1,55,5,3
En Couple,27,1,419,1,245,5,5
En Couple,45,1,561,1,272,5,5
En Couple,78,1,586,1,306,5,5
En Couple,41,1,596,1,245,5,5
En Couple,24,1,569,1,507,5,5
Célibataire,25,1,171,1,65,5,5
En Couple,45,1,488,1,75,5,5
En Couple,53,1,487,1,197,5,5
En Couple,27,1,931,1,115,5,5
Célibataire,43,1,193,1,75,5,5
En Couple,45,1,524,1,272,5,5
En Couple,21,1,585,1,507,5,5
En Couple,22,1,533,1,125,5,5
En Couple,23,0,478,1,197,5,5
En Couple,70,1,1355,1,75,5,5
En Couple,40,1,510,1,272,5,5
Célibataire,43,1,234,1,115,5,5
En Couple,21,1,839,1,507,5,5
Célibataire,70,1,492,1,75,5,5
En Couple,26,1,524,1,75,5,5
Célibataire,81,1,181,1,55,5,3
Célibataire,52,1,242,1,135,5,5
Célibataire,41,1,547,1,55,5,3
En Couple,33,1,527,1,272,5,5
En Couple,84,1,185,1,125,5,5
Célibataire,24,1,1211,1,75,5,5
En Couple,42,1,194,1,147,5,5
En Couple,21,1,151,1,170,5,5
En Couple,41,1,411,1,245,5,5
En Couple,19,1,197,1,200,5,5
Célibataire,24,1,242,1,58,5,3
En Couple,32,1,461,1,170,5,5
En Couple,28,1,489,1,507,5,5
En Couple,81,1,505,1,306,5,5
En Couple,18,1,593,1,245,5,5
En Couple,50,1,582,1,272,5,5
En Couple,53,1,419,1,507,5,5
En Couple,41,1,823,1,507,5,5
En Couple,45,1,187,1,245,5,5
En Couple,58,1,212,1,75,5,5
En Couple,54,1,452,1,272,5,5
En Couple,58,1,1378,1,507,5,5
En Couple,57,1,218,1,170,5,5
Célibataire,54,1,416,1,150,5,5
En Couple,1,1,163,1,272,5,5
Célibataire,37,1,473,1,135,5,5
Célibataire,36,1,405,1,115,5,5
Célibataire,27,1,751,1,75,5,5
Célibataire,26,1,545,1,75,5,5
Célibataire,21,1,1296,1,75,5,5
En Couple,45,1,577,1,197,5,5
En Couple,41,1,428,1,125,5,5
Seule,61,1,980,1,306,5,5
En Couple,76,1,160,1,200,5,5
En Couple,31,1,812,1,197,5,5
En Couple,59,1,1211,1,507,5,5
En Couple,20,1,559,1,272,5,5
Célibataire,20,1,566,1,150,5,5
En Couple,53,1,804,1,197,5,5
Célibataire,34,1,947,1,75,5,5
En Couple,21,1,1134,1,507,5,5
En Couple,26,1,404,1,272,5,5
En Couple,79,1,443,1,306,5,5
Célibataire,22,1,439,1,75,5,5
En Couple,30,1,240,1,125,5,5
Célibataire,22,1,418,1,150,5,5
En Couple,38,1,530,1,125,5,5
En Couple,40,1,225,1,272,5,5
En Couple,39,1,550,1,507,5,5
En Couple,45,1,481,1,507,5,5
En Couple,20,1,532,1,272,5,5
En Couple,65,1,797,1,150,5,5
En Couple,55,1,1239,1,507,5,5
Célibataire,22,1,152,1,115,5,5
En Couple,53,1,184,1,170,5,5
En Couple,54,1,421,1,245,5,5
En Couple,56,1,451,1,272,5,5
En Couple,41,1,591,1,272,5,5
Célibataire,37,1,596,1,90,5,3
Célibataire,25,1,242,1,90,5,5
En Couple,26,1,530,1,507,5,5
En Couple,37,1,195,1,245,5,5
Célibataire,54,1,1197,1,75,5,5
Célibataire,61,1,1030,1,75,5,5
En Couple,49,1,547,1,55,5,3
En Couple,23,1,533,1,147,5,5
En Couple,30,1,1085,1,75,5,5
Célibataire,34,1,539,1,135,5,5
Célibataire,75,1,435,1,136,5,5
Seule,45,1,1142,1,507,5,5
En Couple,26,1,477,1,75,5,5
En Couple,83,1,593,1,306,5,5
Célibataire,18,1,1166,1,75,5,5
